equity,commodity_series,tenor_months_actual,window_days,data_window_start,data_window_end,n_observations,coint_p,coint_passed,coint_p_bh_adjusted,spread_adf_p,granger_maxlag_used,granger_p_lag5,granger_p_lag20,granger_p_lag60,granger_p_lag90,granger_p_lag130,granger_best_lag,granger_best_p,granger_passed,beta,r_squared
TEL,HGN26.CMX spread,33.11,90,2021-04-29,2026-04-28,1255,0.9688491350965497,False,0.978984315683333,0.0621,130,0.29913539604044276,0.8035675988727676,0.9476949803514141,0.9842934013981895,0.980337117775068,3,0.13289532281795155,False,0.00017779203428597377,0.00023295945510870553
TEL,HG=F front-month (matched HGN26.CMX window),1.0,90,2021-04-29,2026-04-28,1255,0.12654066990278068,False,0.34130431344154966,,130,0.15490565615238164,0.012556372137832953,0.06630755579368522,0.13067513790575275,0.05151377270050609,22,0.007200964585771683,True,0.15554062638859423,0.016299791721115398
ROK,HGU26.CMX level,34.11,30,2021-06-29,2026-04-28,1213,0.14214370682814187,False,0.34130431344154966,,130,0.05328332148382237,0.1974103148184334,0.5005140349027816,0.8918278161423094,0.9628751394067054,4,0.035014433215678056,True,0.35777756369198516,0.053932772091735415
ROK,HGU26.CMX spread,34.11,30,2021-06-29,2026-04-28,1213,0.7860098598565043,False,0.9301946443484135,0.069,130,0.839658842166539,0.9678521008823994,0.5069516678884505,0.525217687401455,0.5646224403079636,71,0.31643479542467573,False,-0.00010148223978318998,7.787625423272271e-05
ROK,HG=F front-month (matched HGU26.CMX window),1.0,30,2021-06-29,2026-04-28,1213,0.11374648512781521,False,0.34130431344154966,,130,0.03930904886854,0.13456152357238116,0.3335796987397209,0.6866711640040349,0.8105995774475673,23,0.025397320306895857,True,0.2713449596465019,0.039529129625346826
ROK,HGU26.CMX level,34.11,60,2021-06-29,2026-04-28,1213,0.14214370682814187,False,0.34130431344154966,,130,0.05328332148382237,0.1974103148184334,0.5005140349027816,0.8918278161423094,0.9628751394067054,4,0.035014433215678056,True,0.2947040832800995,0.03795742364286003
ROK,HGU26.CMX spread,34.11,60,2021-06-29,2026-04-28,1213,0.7860098598565043,False,0.9301946443484135,0.069,130,0.839658842166539,0.9678521008823994,0.5069516678884505,0.525217687401455,0.5646224403079636,71,0.31643479542467573,False,-0.00012855962077293697,0.00012912477709348114
ROK,HG=F front-month (matched HGU26.CMX window),1.0,60,2021-06-29,2026-04-28,1213,0.11374648512781521,False,0.34130431344154966,,130,0.03930904886854,0.13456152357238116,0.3335796987397209,0.6866711640040349,0.8105995774475673,23,0.025397320306895857,True,0.2771390004191323,0.043670666021925264
ROK,HGU26.CMX level,34.11,90,2021-06-29,2026-04-28,1213,0.14214370682814187,False,0.34130431344154966,,130,0.05328332148382237,0.1974103148184334,0.5005140349027816,0.8918278161423094,0.9628751394067054,4,0.035014433215678056,True,0.22628178927668421,0.02298835209313621
ROK,HGU26.CMX spread,34.11,90,2021-06-29,2026-04-28,1213,0.7860098598565043,False,0.9301946443484135,0.069,130,0.839658842166539,0.9678521008823994,0.5069516678884505,0.525217687401455,0.5646224403079636,71,0.31643479542467573,False,-0.00012464416551724318,0.00013119095015123872
